locomotion_mode,terrain_info,walk_speed_info,gait_phase,gait_percentage,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle,left_hip_angle_vel,left_knee_angle_vel,right_hip_angle_vel,right_knee_angle_vel
201,5,1.1,4,85.59322034,7624,-13096,538,2369,3590,8006,-1334,-8547.156147,1677.238044,-1055.466268,657.7186046,1714.065261,59.62728608,65.93182442,60.3,65.4,0.037632524,-0.027466042,-0.037858742,-0.18298392
201,5,1.1,4,86.44067797,8994.108976,-13916.26646,746.3778066,1946.270908,2877.511903,7302.096456,-1620,-9113.073152,2267.3968,-1144.214664,1072.414858,1891.964798,59.67493614,65.91351318,60.3,65.49570313,0.047650054,-0.01831124,0,0.095703125
201,5,1.1,4,87.28813559,10166,-14406,1052,1418,1880,6331,-1774,-9880,2578,-1240,1288,2068,59.71457101,65.91160089,60.29421578,65.53325174,0.039634867,-0.001912291,-0.005784222,0.037548616
201,5,1.1,4,88.13559322,11014,-13280,1544,718,569,5044,-103,-11737.71202,2321.742618,-1356.768085,1142.220944,2212.426342,59.75111416,65.92719292,60.25234688,65.48440469,0.036543154,0.015592032,-0.041868899,-0.048847048
201,5,1.1,4,88.98305085,10822,-12250,980,323,-131,4080,1568,-13176,1692,-1468,900,2387,59.78755819,65.95342017,60.21380538,65.43943961,0.036444034,0.026227246,-0.038541497,-0.04496508
201,5,1.1,4,89.83050847,9694,-10772,-980,18,-591,2277,1322,-10862,36,-1547,708,2711,59.82356843,65.98326608,60.17644,65.39554271,0.036010236,0.029845906,-0.037365386,-0.043896906
201,5,1.1,4,90.6779661,8282.017927,-8952.129259,-389.6296296,104.3703704,-385.5925926,741.2017087,1013.078281,-11143.31785,78.37464596,-1646.24551,766.8518519,2892.048358,59.85876988,66.03396819,60.14398382,65.34418914,0.03520145,0.050702117,-0.032456177,-0.051353564
201,5,1.1,4,91.52542373,6590.182946,-6788.58323,1086.296296,320.2962963,127.9259259,-818.2262573,683.2399455,-11768.19126,188.7492919,-1753.680422,876.1481481,3028.129653,59.89590959,66.04716393,60.09218807,65.33,0.037139708,0.013195732,-0.051795747,-0.014189142
201,5,1.1,4,92.37288136,4857.779361,-4582.1796,3005,601,795.5,-2266.222155,434,-12408,342,-1842,935,3183,59.94306588,66.02289368,60.00784042,65.33,0.04715629,-0.024270251,-0.084347649,0
201,5,1.1,4,93.22033898,3324.091473,-2633.736059,4923.703704,881.7037037,1463.074074,-3467.72424,277.9054307,-12935.06986,627.5496363,-1897.101373,819.0774908,3390.978375,59.98447597,65.99277986,60.0244043,65.33,0.041410093,-0.03011381,0.016563874,0
201,5,1.1,4,94.06779661,2228.403585,-1244.070296,6399.62963,1097.62963,1976.592593,-4287.670769,176,-13526,1084,-1953,691,3623,60,65.98,60.05960297,65.32882672,0.01552403,-0.012779865,0.035198674,-0.001173277
201,5,1.1,4,94.91525424,1810,-714,6990,1184,2182,-4591,114.3189655,-14486.83982,2017.028887,-2070.31371,671.4225092,3861.30836,60,65.98,60.02628409,65.23751081,0,0,-0.033318879,-0.091315917
201,5,1.1,4,95.76271186,4840,-3626,2276,-147,628,-4484,86,-15170,2696,-2152,664,4121,60.009375,65.9909375,59.98516878,65.15912839,0.009375,0.0109375,-0.041115307,-0.078382416
201,5,1.1,4,96.61016949,2915.777778,-3876.318353,-2068.391115,-884.9927307,-228.2161042,-4329.089619,1420,-15256.5244,2514.974798,-2115.576696,671.236,4416.024495,60.05742188,66.04699219,59.94735231,65.11823076,0.048046875,0.056054687,-0.037816471,-0.04089763
201,5,1.1,4,97.45762712,-657.7777778,-3966.712663,-5946.195557,-1432.051921,-861.6080521,-4163.322587,2754,-15288,2210,-2042,691,4742,60.06,66.05,59.90944044,65.06856934,0.002578125,0.003007813,-0.037911878,-0.049661424
201,5,1.1,4,98.30508475,-2582,-4232,-7624,-1646,-1109,-4086,2157.58176,-15033.10968,1912.294826,-1908.923304,830.557578,5115.930799,60.06016195,66.05040488,59.87757456,65.04037788,0.00016195,0.000404875,-0.031865872,-0.028191452
201,5,1.1,4,99.15254237,-782,-10650,-4982,-1110,109,-4217,992,-14624,1704,-1813,1039,5485,60.07555556,66.08888889,59.85837045,65.0762963,0.015393605,0.038484014,-0.019204112,0.035918413
201,5,1.1,4,100,314.0019677,-11966.66639,1554.059792,-551.8268231,426.5182482,-4360.910039,-431.9467403,-14258.89032,1646.730375,-1834.170396,1177.014422,5806.555372,60.10196844,66.15492111,59.84320654,65.13792637,0.026412889,0.066032223,-0.01516391,0.061630075
201,5,1.1,1,0,1546,-12430,6358,-237,544,-4447,-2224,-14048,1624,-1888,1345,6074,60.11936556,66.19841389,59.82473701,65.17851963,0.017397112,0.043492779,-0.018469529,0.04059326
201,5,1.1,1,0.877192982,5271.071765,-9284.850459,4627.397899,-788.5,363.3638393,-4451.015675,-4626.252296,-15368.9901,2822,-2114.095427,1740.293505,6305.081828,60.12,66.17535996,59.79202495,65.18,0.000634444,-0.023053928,-0.032712061,0.001480368
201,5,1.1,1,1.754385965,8136,-5990,1404,-1340,129,-4455,-6718,-17524,4020,-2394,2164,6426,60.12,66.11394779,59.75750155,65.17981106,0,-0.061412172,-0.034523403,-0.000188942
201,5,1.1,1,2.631578947,4433,-5758.149541,-3099.397899,-1194.28942,29.63616071,-4549.417098,-7644,-19140,3904,-2532,2387,6165,60.12,66.04190529,59.73229646,65.16185185,0,-0.0720425,-0.025205088,-0.017959206
201,5,1.1,1,3.50877193,730,-5676,-6110,-929,-16,-4640,-3692,-17006,5164,-2498,3128,5533,60.12,65.95258993,59.71113157,65.13103681,0,-0.089315358,-0.021164887,-0.030815037
201,5,1.1,1,4.385964912,1885.836857,-6646,-3116.660018,-583.2105799,22,-4481.483506,-816,-13482,5882,-2344,3526,4806,60.12,65.85124935,59.70035151,65.11074018,0,-0.101340581,-0.010780065,-0.02029663
201,5,1.1,1,5.263157895,3528,-7616,1316,-357,60,-4147,3102,-9264,5986,-1897,4142,3019,60.12,65.72650417,59.7,65.14523352,0,-0.124745178,-0.000351508,0.034493337
201,5,1.1,1,6.140350877,4310,-7388,3756,-725,-176,-3612,2537.625,-6882.194091,5041.625,-1432.249778,3655.320372,2548.790235,60.11865234,65.59975233,59.7,65.25153422,-0.001347656,-0.126751848,0,0.106300697
201,5,1.1,1,7.01754386,4297.523705,-7434.973761,3643.019852,-700.0824035,-175.5372052,-3216.778803,1296,-5014.440818,2964,-955.9707027,2553.43766,2296.035359,60.02783203,65.51076177,59.7,65.36334508,-0.090820313,-0.088990558,0,0.111810866
201,5,1.1,1,7.894736842,4261.963369,-7556.116618,3347.209029,-634.4583517,-174.1852418,-2867.11111,54.375,-3539.967137,886.375,-498.4562766,1373.586117,2079.012803,60,65.42945476,59.68868313,65.42675155,-0.027832031,-0.081307008,-0.011316872,0.063406471
201,5,1.1,1,8.771929825,4206.121819,-7721.760933,2933.261967,-541.8209515,-171.9987414,-2552.423345,-510,-2338,-58,-90,653,1716,60,65.35222835,59.64444444,65.46697937,0,-0.077226411,-0.044238683,0.040227819
201,5,1.1,1,9.649122807,4132.801881,-7902.239067,2465.873099,-435.8633095,-169.0323355,-2262.14193,242,-1203.507114,1092,246.7677991,405.8267466,945.3610649,60,65.28070845,59.64735718,65.47,0,-0.071519901,0.002912733,0.003020626
201,5,1.1,2,10.52631579,4044.806382,-8067.883382,2009.736859,-330.2785324,-165.3406556,-1985.693285,994,-622,2242,567,241,5,60,65.21429936,59.67280884,65.47,0,-0.066409086,0.02545166,0
201,5,1.1,2,11.40350877,3944.938146,-8189.026239,1629.547682,-238.759727,-160.9783332,-1712.503835,870.3335169,-722.3657391,1861.152,918.1181532,116.0485844,-858.81806,60,65.14651835,59.69606323,65.47,0,-0.067781008,0.023254395,0
201,5,1.1,2,12.28070175,3836,-8236,1390,-175,-156,-1432,560.2005507,-986.0572173,952.976,1283.164653,21.44451981,-1745.502529,60,65.06194871,59.7,65.48159482,0,-0.084569639,0.003936768,0.01159482
201,5,1.1,2,13.15789474,3676.268543,-8182.5625,1267.760905,-134.3743097,-142.9730618,-1122.438464,154.900826,-1356.965826,-130.976,1651.952077,-63.98383691,-2605.977968,60,64.97378696,59.7,65.53280745,0,-0.088161754,0,0.051212635
201,5,1.1,2,14.03508772,3438.921607,-8065,1178.191202,-100.8139781,-120.6129597,-804.0214572,-254.2659324,-1778.982956,-1039.152,2014.293,-161.4081291,-3391.168938,60.03,64.97,59.7,65.56365715,0.03,-0.00378696,0,0.030849692
201,5,1.1,2,14.9122807,3149.113867,-7947.4375,1094.025898,-70.84665745,-98.19637776,-529.0937216,-576,-2196,-1420,2360,-292,-4052,60.06,64.96464278,59.7,65.5905408,0.03,-0.005357216,0,0.026883654
201,5,1.1,2,15.78947368,2832,-7894,988,-41,-85,-350,-819.252677,-2639.012325,-1214.208096,2702.51599,-553.4368332,-4586.707903,60.06,64.85920822,59.7,65.60752945,0,-0.105434561,0,0.016988646
201,5,1.1,2,16.66666667,2369.097603,-7964,811.4749536,-8.559049975,-79.87834821,-241.0277372,-1037.449034,-3155.481896,-827.0828579,3032.813605,-877.3850833,-5046.554053,60.06,64.83,59.7,65.61,0,-0.029208223,0,0.002470552
201,5,1.1,2,17.54385965,1769.808981,-8118,586.9777365,24.1487583,-75.75297619,-149.1357664,-1206,-3714,-604,3307,-1036,-5462,60.06,64.83,59.7,65.61,0,0,0,0
201,5,1.1,2,18.42105263,1251.115868,-8272,393.9916512,53.03218742,-73.00111607,-85.67591241,-1314.423141,-4446.29095,-581.2857579,3524.741156,-1029.420673,-5849.605115,60.06,64.8421755,59.7,65.6409589,0,0.012175496,0,0.030958904
201,5,1.1,2,19.29824561,1030,-8342,312,74,-72,-62,-1392.096461,-5317.5364,-565.0317848,3715.809911,-1010.788462,-6208.547279,60.06,64.88364423,59.7,65.69886265,0,0.04146873,0,0.057903744
201,5,1.1,2,20.1754386,1332,-8282,528,86,-90,-79,-1474.22155,-6046.51365,-555.2619193,3881.473711,-981.7620192,-6543.215803,60.06,64.94046174,59.7,65.73983,0,0.056817512,0,0.040967352
201,5,1.1,2,21.05263158,1090,-7680,716,51,-96,-140,-1596,-6352,-552,4023,-944,-6858,60.06,65.01365282,59.68748219,65.77889927,0,0.073191086,-0.01251781,0.039069272
201,5,1.1,2,21.92982456,852,-8000,1254,34,-92,-219,-1846.723856,-6193,-672.0616114,4147.864297,-840.1528726,-7153.381079,60.06,65.1058465,59.64229595,65.81923126,0,0.092193679,-0.045186241,0.040331989
201,5,1.1,2,22.80701754,690,-8386,1496,-11,-143,-286,-2162,-6034,-860,4236,-709,-7416,60.06,65.11,59.64,65.89477811,0,0.004153499,-0.00229595,0.075546852
201,5,1.1,2,23.68421053,481.9538098,-8390.671264,1416.649974,-72.54743249,-168.0255102,-402.0790998,-2444,-6138,-984,4277,-625,-7633,60.05770405,65.10732139,59.64,66.00255269,-0.00229595,-0.002678608,0,0.107774574
201,5,1.1,2,24.56140351,356,-8392,1242,-133,-179,-554,-2542,-6694,-1068,4358,-575,-7878,60.01251781,65.05460411,59.64,66.13214201,-0.045186241,-0.052717281,0,0.129589325
201,5,1.1,2,25.43859649,620,-8322,924,-175,-142,-738,-2485.096774,-7175.237893,-972,4413.730245,-604.6483254,-8049.81035,60,65.04433397,59.64,66.26821815,-0.01251781,-0.010270138,0,0.13607614
201,5,1.1,2,26.31578947,700.6750911,-8183.857332,899.4043559,-219.8446635,-152.3125,-854.6324568,-2398,-7644,-876,4441,-677,-8191,60,65.07024042,59.64,66.40658845,0,0.025906447,0,0.138370295
201,5,1.1,2,27.19298246,741.1783942,-7994.095406,891.1829506,-266.6781936,-175,-946.1599356,-2352.329152,-8152.874083,-912.2641737,4411.6,-877.7842692,-8342.637523,60,65.099653,59.64,66.54275001,0,0.029412583,0,0.136161559
201,5,1.1,2,28.07017544,783.0925003,-7826.285777,882.87007,-308.4226269,-197.6875,-1030.107447,-2294,-8664,-1008,4357,-1202,-8427,60,65.11,59.64229595,66.66019025,0,0.010346996,0.00229595,0.117440244
201,5,1.1,2,28.94736842,868,-7754,858,-338,-208,-1124,-2116,-9150,-1340,4297,-1624,-8375,60,65.11,59.68748219,66.74694214,0,0,0.045186241,0.086751885
201,5,1.1,2,29.8245614,1190,-8102,492,-354,-201,-1235,-2450.261851,-9617.811063,-1599.436742,4242.077554,-2230.047309,-8218.851764,60,65.06129395,59.7,66.84628099,0,-0.048706055,0.01251781,0.099338856
201,5,1.1,2,30.70175439,1225.706248,-8509.246368,661.4216439,-419.1452614,-230.1282051,-1374.932818,-3154,-9956,-1732,4168,-2861,-7989,60,64.9023584,59.7,66.93884826,0,-0.158935547,0,0.092567271
201,5,1.1,2,31.57894737,1242.212961,-8909.400962,977.06551,-521.4099978,-291.2564103,-1522.297734,-4272,-10086,-1354,3988,-3353,-7731,59.99877386,64.9,59.7,66.85838999,-0.001226139,-0.002358398,0,-0.080458277
201,5,1.1,2,32.45614035,1264,-9090,1150,-593,-345,-1622,-5313.297212,-10681.01655,-1105.967167,3714.912784,-3329.011178,-7459.874347,59.99464562,64.9,59.7,66.79208608,-0.004128244,0,0,-0.066303907
201,5,1.1,2,33.33333333,1315.816514,-8924.592593,1153.158859,-617.511585,-373.2441993,-1676.336011,-6292,-11418,-918,3391,-3266,-7156,59.98778308,64.9,59.7,66.84359967,-0.006862532,0,0,0.051513591
201,5,1.1,2,34.21052632,1377.908257,-8617.407407,1154.582649,-633.8090152,-396.8730139,-1717.001339,-7186,-11818,-780,3051,-3052,-6768,59.97836952,64.9,59.70615111,66.91986954,-0.00941356,0,0.00615111,0.076269872
201,5,1.1,2,35.0877193,1408,-8452,1158,-657,-435,-1733,-8104,-12868,-828,2514,-2767,-5951,59.9665882,64.9,59.73761022,67.03448443,-0.011781327,0,0.031459107,0.114614892
201,5,1.1,2,35.96491228,1348.997791,-10539,1460.414252,-703.8807631,-589.4368143,-1695,-8619.177855,-12832.43732,-933.7879855,2056.101757,-2404.942712,-5061.184639,59.95262236,64.9,59.78312477,67.1368818,-0.013965835,0,0.045514557,0.102397365
201,5,1.1,2,36.84210526,1158,-12626,1760,-767,-718,-1657,-9019.548302,-12740.72303,-1106.930417,1640.10984,-1965.100705,-4141.395404,59.93568498,64.89699219,59.82897447,67.16785808,-0.016937378,-0.003007813,0.0458497,0.030976279
201,5,1.1,2,37.71929825,-1232,-11070,1198,-841,-584,-1744,-9343.988786,-12615.31778,-1338.942744,1249.145816,-1496.127697,-3188.493979,59.89631887,64.8409375,59.88272832,67.10496817,-0.039366113,-0.056054688,0.053753844,-0.062889912
201,5,1.1,2,38.59649123,54,-9352,58,-853,-409,-1953,-9631.376753,-12478.68222,-1621.340416,866.3312531,-1046.677405,-2199.342044,59.85712071,64.84603181,59.94231516,66.99201406,-0.039198165,0.005094306,0.059586841,-0.112954106
201,5,1.1,2,39.47368421,310.3042936,-9353.316056,332.8738128,-920.9690633,-533.8298917,-2078.561023,-9920.589647,-12353.27697,-1945.638883,474.7877175,-665.4035473,-1170.801282,59.82259811,64.89673392,59.99550392,66.87931801,-0.034522596,0.050702117,0.053188756,-0.112696054
201,5,1.1,2,40.35087719,400,-9358,854,-1034,-674,-2207,-10250.50491,-12261.56268,-2303.353594,57.63677738,-400.9598397,-99.73337313,59.80165299,64.92140484,60.03711963,66.78899442,-0.020945119,0.024670919,0.041615717,-0.090323588
201,5,1.1,2,41.22807018,-164,-11134,1462,-1166,-693,-2434,-10660,-12226,-2686,-402,-302,1017,59.78626871,64.93935317,60.07384786,66.69961378,-0.015384285,0.017948332,0.036728225,-0.089380635
201,5,1.1,2,42.10526316,2,-10972,1276,-1246,-698,-2647,-11210,-21342,-3236,-943,-1161,2267,59.76904797,64.95944404,60.10787638,66.61027846,-0.01722074,0.020090863,0.034028519,-0.089335322
201,5,1.1,2,42.98245614,-7.862192501,-11037.24555,1379.831926,-1276.97375,-777.1717105,-2856.349111,-10644,-5918,2580,-57,-1140,3482,59.74159575,64.99147163,60.14132979,66.52035413,-0.02745222,0.032027589,0.033453411,-0.08992433
201,5,1.1,2,43.85964912,-32,-11188,1534,-1304,-880,-3086,-10980,-3262,4178,-500,-71,4070,59.70368297,65.0357032,60.17633269,66.42920647,-0.037912778,0.044231574,0.035002903,-0.09114766
201,5,1.1,2,44.73684211,-312.2716875,-11721.87347,1638.13354,-1356.514971,-924.8943577,-3361.314002,-3552,-9866,822,-961,1013,3014,59.65813817,65.0888388,60.21639045,66.31513479,-0.045544795,0.053135595,0.040057764,-0.114071677
201,5,1.1,2,45.61403509,-968.9344267,-12792.90471,1743.264264,-1430.748052,-953.9274419,-3669.812428,224.5036858,-9636.422338,-2682.336937,-1353.064192,206.962963,3366.222935,59.64,65.11,60.24700017,66.2717586,-0.018138174,0.021161203,0.030609715,-0.043376194
201,5,1.1,2,46.49122807,-1811.413422,-14118.26335,1840.504223,-1512.756169,-976.4269003,-4004.66276,2947.696287,-9117.511342,-5970.612913,-1701.14748,-1289.962963,4023.779203,59.64,65.11,60.26473917,66.29614289,0,0,0.017739005,0.024384287
