locomotion_mode,terrain_info,walk_speed_info,gait_phase,gait_percentage,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle,left_hip_angle_vel,left_knee_angle_vel,right_hip_angle_vel,right_knee_angle_vel
100,0,1.3,2,21.80451128,284,-8288,588,39,-77,-386,-1822,-9142,-1416,3265,-1564,-7140,59.78502058,64.34,59.67785874,66.38035317,-0.034979424,0,0.037858742,-0.189646834
100,0,1.3,2,22.55639098,401,-8221,1004.118655,14.07926829,-74.12903226,-408.2232207,-2084,-9528,-1176,3206,-1807,-7248,59.76,64.34,59.7,66.23368697,-0.025020576,0,0.022141258,-0.146666201
100,0,1.3,2,23.30827068,518,-8154,1230,-28,-73,-426,-2104,-9930,-1026,3140,-1973,-7264,59.76,64.34,59.7,66.13565475,0,0,0,-0.098032218
100,0,1.3,2,24.06015038,498,-8226,1224,-63,-81,-440,-2128.76751,-10198.75379,-1003.537544,3045.373423,-2197.955015,-7219.435805,59.76,64.36214844,59.70985579,66.09567083,0,0.022148437,0.009855793,-0.039983919
100,0,1.3,2,24.81203008,478.6451613,-8225.560969,1102,-95.78224201,-88.74193548,-458.142562,-2160.814183,-10416.85998,-993.3909944,2929.864663,-2435.078854,-7110.649387,59.76,64.41,59.74802009,66.06849546,0,0.047851563,0.038164297,-0.02717537
100,0,1.3,2,25.56390977,468,-8224,980,-122,-93,-488,-2210,-10626,-974,2808,-2559,-6975,59.76,64.41,59.79563046,66.05276967,0,0,0.04761037,-0.015725785
100,0,1.3,2,26.31578947,824,-7766,974,-137,-77,-579,-2349.580512,-10819.98409,-903.6785992,2687.875686,-2579.882323,-6788.906326,59.76,64.41577041,59.83595283,66.05500228,0,0.005770405,0.040322365,0.002232611
100,0,1.3,2,27.06766917,1030.507572,-7346.437337,826.3865154,-223.3743243,-93.5,-620.1755655,-2546,-11042,-766,2548,-2588,-6544,59.76,64.47019744,59.8748225,66.09775491,0,0.05442703,0.038869675,0.042752624
100,0,1.3,2,27.81954887,1126,-7120,684,-298,-110,-656,-2719.553786,-11514.65359,-355.2744128,2348.999568,-2455.619007,-6252.816747,59.76,64.48,59.88,66.16726718,0,0.009802565,0.0051775,0.069512273
100,0,1.3,2,28.57142857,1050.79845,-7281.054852,709.7553957,-288,-98.5,-711.0311955,-2910,-11850,54,2134,-2243,-5924,59.76,64.48,59.88,66.27,0,0,0,0.102732818
100,0,1.3,2,29.32330827,948,-7560,764,-278,-87,-770,-3146,-11840,164,1953,-2091,-5577,59.76,64.51388962,59.88,66.36027979,0,0.033889618,0,0.090279788
100,0,1.3,2,30.07518797,912.0908946,-7872.945148,877.2446043,-288.3300712,-87.23913043,-829.2927385,-3424,-11498,244,1735,-1865,-4930,59.76,64.56226097,59.88,66.47620045,0,0.048371347,0,0.115920666
100,0,1.3,2,30.82706767,868,-8068,962,-312,-88,-872,-3572,-11052,266,1621,-1735,-4409,59.76,64.60419747,59.88,66.62659734,0,0.041936509,0,0.150396889
100,0,1.3,2,31.57894737,674,-7766,874,-361,-96,-886,-3649.579704,-10369.75342,36,1397.831514,-1513.920741,-3800.692319,59.76,64.6854611,59.9044043,66.64,0,0.081263625,0.024404297,0.013402657
100,0,1.3,2,32.33082707,625.6923486,-7807,774.060241,-391.5409238,-119.7591241,-898.9525782,-3738,-9634,-194,1122,-1236,-3123,59.76,64.76,59.93946502,66.64,0,0.0745389,0.035060724,0
100,0,1.3,2,33.08270677,608,-7848,716,-406,-138,-919,-4071.112182,-8939.891875,-181.7217742,865.9206486,-936.2957767,-2352.637152,59.74681025,64.76,59.90016461,66.64,-0.013189749,0,-0.039300412,0
100,0,1.3,2,33.83458647,1146,-7702,754,-404,-110,-995,-4370,-8464,-152,598,-604,-1549,59.72059771,64.76,59.88553711,66.63125251,-0.026212539,0,-0.0146275,-0.008747493
100,0,1.3,2,34.58646617,1084.848,-7776.672,827.2214927,-425.9666003,-117.488,-1056.747604,-4407.204192,-8328.941107,-40.27822581,284.9684308,-231.4047345,-755.3641015,59.70139745,64.76,59.93446289,66.52592232,-0.019200267,0,0.048925781,-0.105330184
100,0,1.3,2,35.33834586,939.024,-7954.736,933.4462876,-481.4198008,-135.344,-1110.290115,-4440,-8216,54,0,151,-25,59.7,64.78583147,59.94,66.39438313,-0.001397446,0.025831468,0.005537109,-0.131539198
100,0,1.3,2,36.09022556,764.976,-8167.264,1052.260336,-554.6897011,-156.656,-1162.158824,-4577.127336,-8041.432343,-5.111111111,-217.6858115,535.3916119,630.0717737,59.7,64.83,59.94,66.25943282,0,0.044168532,0,-0.134950308
100,0,1.3,2,36.84210526,619.152,-8345.328,1163.24959,-630.106401,-174.512,-1218.885022,-4775.008113,-7812.902906,-114.8888889,-401.9359026,910.0218841,1221.973772,59.7,64.83,59.94,66.16950569,0,0,0,-0.089927131
100,0,1.3,2,37.59398496,558,-8420,1246,-692,-182,-1287,-4876,-7492,-174,-519,1198,1634,59.7,64.83,59.94,66.08790015,0,0,0,-0.081605539
100,0,1.3,2,38.34586466,960,-8124,1296,-738,-179,-1381,-4806,-6848,-150,-570,1371,1844,59.7,64.83,59.94,66.00883821,0,0,0,-0.079061941
100,0,1.3,2,39.09774436,900.4615385,-8006.429644,1200.396969,-802.1219904,-202.9834337,-1448.273627,-3354.388981,-10291,1886.660572,-367.5001477,810.5,1658.049096,59.7,64.83,59.94,65.89384651,0,0,0,-0.114991697
100,0,1.3,2,39.84962406,816,-7958,1034,-866,-244,-1519,-914,-13734,4976,-23,250,1314,59.7,64.83,59.94,65.74401751,0,0,0,-0.149828999
100,0,1.3,2,40.60150376,765.4615385,-7989.25,885.2811742,-911.4522488,-281.9552914,-1619.318151,1328,-5616,6878,270,1851,940,59.65898438,64.86790534,59.94,65.54942265,-0.041015625,0.037905336,0,-0.194594864
100,0,1.3,2,41.35338346,719.0769231,-8058,726.5043409,-949.2058629,-323.2311787,-1743.147024,8121.18992,-2757.209233,-886,-323.5,1785.254324,669.5694638,59.64,64.91972906,59.94,65.44775915,-0.018984375,0.051823723,0,-0.101663493
100,0,1.3,2,42.10526316,685.1538462,-8126.75,563.9753372,-987.6065457,-361.1414767,-1888.402385,13360,-1618,-8650,-917,1603,535,59.64,64.9660798,59.94,65.41021652,0,0.04635074,0,-0.037542632
100,0,1.3,2,42.85714286,672,-8158,404,-1035,-389,-2053,6554.057649,-6301,-3116.41511,-396.5,-383.754324,2233.5,59.6155957,64.94152832,59.94,65.33533335,-0.024404297,-0.024551479,0,-0.074883171
100,0,1.3,2,43.60902256,958,-8068,248,-1103,-405,-2270,-2294,-10984,3442,124,-2254,3932,59.58,64.9,59.94,65.2542821,-0.035595703,-0.04152832,0,-0.081051252
100,0,1.3,2,44.36090226,912,-8188.318609,518,-1138.895522,-456.3422525,-2447.384417,-6078.057649,-10582.22741,5188.41511,-375.8817683,-857.6001928,3711,59.58,64.9,59.94,65.21214189,0,0,0,-0.042140211
100,0,1.3,2,45.11278195,866,-8490,788,-1155,-532,-2617,-7820,-9682,5910,-1086,699,3490,59.58,64.9,59.94,65.1362516,0,0,0,-0.075890282
100,0,1.3,2,45.86466165,1140,-9344,756,-1134,-614,-2802,-3518,-7948,-2120,-1424,896,3865,59.58,64.9,59.94,64.98715051,0,0,0,-0.149101094
100,0,1.3,2,46.61654135,1009.612072,-10301.62183,723.479432,-1226.510391,-807.5782534,-2882.801668,-1187.940393,-7758.499603,-2332.453361,-1042,140,4439.088521,59.58,64.9,59.91264401,64.92395444,0,0,-0.027355994,-0.06319607
100,0,1.3,2,47.36842105,646.3352549,-11357.66871,693.2952716,-1407.465226,-1054.844682,-2937.040749,-134,-7698,-2394,-660,-616,4807,59.58,64.9,59.88,64.9,0,0,-0.032644006,-0.02395444
100,0,1.3,2,48.12030075,92,-12598,680,-1532,-1177,-3015,-5894,-8534,4792,-777,-241,4048,59.58,64.9,59.88,64.9,0,0,0,0
100,0,1.3,2,48.87218045,-1444,-14262,916,-1565,-1068,-3181,-4295.925926,-8410.074074,3168,-844.4249663,-130.8566052,3563.18198,59.58,64.9,59.88,64.91320302,0,0,0,0.013203018
100,0,1.3,3,49.62406015,-134,-12482,878,-1361,-999,-3599,-1328.074074,-8179.925926,152,-895.0458165,-64.04493246,3181.980143,59.58,64.9,59.88,64.96481481,0,0,0,0.051611797
100,0,1.3,3,50.37593985,-202.7780899,-12580.05771,358.8745782,-1387.5,-1274.5,-3735.686573,270,-8056,-1472,-915,-20,2895,59.58,64.9,59.88,64.97,0,0,0,0.005185185
100,0,1.3,3,51.12781955,-370,-12830,-128,-1414,-1550,-3862,-174.9413496,-8087.62963,-1072.740741,-858.5126166,18.56291391,2672.091455,59.58,64.9,59.88,64.97157227,0,0,0,0.001572266
100,0,1.3,3,51.87969925,-1013.22191,-14100.94229,231,-1400,-1478.694336,-4196.677992,-1041.216033,-8146.37037,-331.2592593,-731.5807887,48.78145695,2492.738992,59.58,64.9,59.88,65.0775293,0,0,0,0.105957031
100,0,1.3,3,52.63157895,-1558,-15220,590,-1386,-1379,-4568,-1626,-8178,68,-598,61,2362,59.58,64.9,59.88,65.09539589,0,0,0,0.017866592
100,0,1.3,3,53.38345865,-919.9959759,-15105.42132,560,-1390.5,-1322.305664,-4846.226549,-1768,-7956,-744,-474,40,2281,59.58,64.9,59.88,65.04267861,0,0,0,-0.052717281
100,0,1.3,3,54.13533835,-90,-14802,530,-1395,-1294,-4992,-1786,-7698,-766,-232,28,2130,59.58,64.9,59.88,65.0445385,0,0,0,0.001859891
100,0,1.3,3,54.88721805,147.868122,-12749.57868,927,-1362.5,-1370.880597,-4984.5,-1995.580119,-7849.602071,-420.7653806,-130.7000786,41.5,1926.293658,59.58,64.90069815,59.88,65.06168508,0,0.000698148,0,0.017146584
100,0,1.3,3,55.63909774,430,-10886,1324,-1330,-1498,-4977,-2204,-8084,164,-66,55,1712,59.58,64.94999593,59.88,65.08934848,0,0.049297781,0,0.027663402
100,0,1.3,3,56.39097744,2949.423266,-11378.08651,821,-1396.258999,-1590.315634,-5056,-2221.9964,-8270.397929,777.7653806,-7.622047244,54.38461538,1526.164929,59.57756908,64.97,59.88,65.14166577,-0.002430921,0.020004071,0,0.052317282
100,0,1.3,3,57.14285714,5604,-11958,318,-1493,-1696,-5135,-2234,-8374,1152,22,53,1352,59.55676601,64.97,59.88,65.25435466,-0.020803072,0,0,0.112688891
100,0,1.3,3,57.89473684,6252.511859,-12113.32769,803.4329339,-1549.994904,-1837.394001,-4984.022434,-2254.595025,-8345.481481,1043.111111,3.074074074,49.20512821,1181.381471,59.53095417,64.97,59.88,65.10334181,-0.025811837,0,0,-0.151012849
100,0,1.3,3,58.64661654,6678.700374,-12217.77495,1798.643646,-1597.902695,-2019.75573,-4598.155979,-2276.07529,-8292.518519,840.8888889,-32.07407407,43.76923077,1017.482103,59.52067383,64.97078613,59.87794239,64.87675599,-0.010280342,0.000786133,-0.002057613,-0.226585817
100,0,1.3,3,59.39849624,6832,-12256,2612,-1635,-2262,-4078,-2286,-8264,732,-51,41,872,59.56608398,65.02376465,59.83555556,64.78073509,0.045410156,0.052978516,-0.042386831,-0.096020902
100,0,1.3,3,60.15037594,4832,-8778,3004,-1660,-2684,-3142,-2020,-8382,804,-16,55,737.9031853,59.58,65.04,59.82,64.76765625,0.013916016,0.016235352,-0.015555556,-0.01307884
100,0,1.3,4,60.90225564,4128.296306,-4770.531058,1917.513834,-1604.711723,-2573.411703,-2325.180723,-1754,-8500,876,19,69,642,59.58,65.04,59.82,64.82029297,0,0,0,0.052636719
100,0,1.3,4,61.65413534,3694.831209,-857.4877511,-231.6389984,-1460.312334,-2280.823406,-1611.590361,-1795,-8490.147368,570,16,68.7375,591.0032895,59.58,65.04,59.82,64.87375,0,0,0,0.053457031
100,0,1.3,4,62.40601504,3154,904,-1778,-1259,-1865,-1306,-1836,-8464,264,13,68,568,59.58,65.04078613,59.82,64.89464278,0,0.000786133,0,0.020892784
100,0,1.3,4,63.15789474,2214.915147,37.23380567,-2411.453063,-806.3174815,-774.2540752,-1520,-1545,-8283.852632,327.2379936,42.81299213,61.97391479,578,59.58,65.09376465,59.82,64.78920822,0,0.052978516,0,-0.105434561
100,0,1.3,4,63.90977444,1228,-1316,-2700,-266,382,-1734,-1254,-8120,476,78,49,588,59.58,65.11,59.82,64.79816079,0,0.016235352,0,0.008952568
100,0,1.3,4,64.66165414,315.989228,-2425.233806,-560,109.5892416,919.6057306,-1145.104911,-1394,-8340,812,85,22,541,59.58,65.11,59.82,64.95901366,0,0,0,0.160852868
100,0,1.3,4,65.41353383,-188,-3048,1580,388,1180,-209,-1536.358744,-8421.218884,820.0622499,71.33333333,45,557.5,59.58,65.1671989,59.85,65.06208753,0,0.057198897,0.03,0.103073876
100,0,1.3,4,66.16541353,84.75798909,-3037.305732,1287.171324,536.9872611,1199.586001,432.5177879,-1616,-8454,828,53,68,574,59.57940159,65.2653608,59.87982788,65.10939758,-0.000598412,0.098161902,0.029827881,0.047310049
100,0,1.3,4,66.91729323,574,-3002,688,676,1216,1066,-1204,-8278,1052,46,62,541,59.53714635,65.30357064,59.86360474,65.05261658,-0.042255241,0.038209841,-0.016223145,-0.056781006
100,0,1.3,4,67.66917293,1060,-2442,-186,901,1267,1781,-1278,-7970,1400,-21,61,597,59.529375,65.36014599,59.83639526,64.95738342,-0.007771346,0.056575345,-0.027209473,-0.095233154
100,0,1.3,4,68.42105263,1590.176843,-2565,-607.9083017,1118.644619,1366.028756,2418.174955,-1258.058309,-7974.075184,1387.138393,-81.67740551,61.02554089,643.2467309,59.57742188,65.45628155,59.82017212,64.90060242,0.048046875,0.096135569,-0.016223145,-0.056781006
100,0,1.3,4,69.17293233,1894,-2688,-792,1310,1442,2947,-1206.629738,-7985.815238,1352.692601,-140.1881768,61.11234718,682.8575389,59.58,65.50842186,59.82,64.97616935,0.002578125,0.052140309,-0.000172119,0.07556693
100,0,1.3,4,69.92481203,1460,-2610,-466,1450,1452,3306,-1136.309038,-8004.491917,1302.871172,-196.6396705,61.27569431,719.3360602,59.58,65.54891496,59.82,65.04,0,0.040493099,0,0.063830653
100,0,1.3,4,70.67669173,1428,-3254,-198,1594,1385,3887,-1059.690962,-8029.376978,1243.882651,-251.1392431,61.53085772,756.1859308,59.58,65.59734839,59.82,65.04,0,0.048433426,0,0
