locomotion_mode,terrain_info,walk_speed_info,gait_phase,gait_percentage,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle,left_hip_angle_vel,left_knee_angle_vel,right_hip_angle_vel,right_knee_angle_vel
301,33,0.9,1,0,5332,-9106,458,78,-243,2074,-1810.000559,-7985.724138,968.6717148,-405.7986386,105,382.212766,63.38103994,69.68,59.7,65.86253906,0.071039935,0,-0.000598412,-0.047460938
301,33,0.9,1,0.540540541,4980,-9290,404,-3,-380,1844,-1852,-7988,942,-426,105,388,63.46648838,69.68,59.70444444,65.83,0.085448442,0,0.004444444,-0.032539062
301,33,0.9,1,1.081081081,4422,-9356,460,-84,-503,1485,-1926,-7972,890,-443,109,380,63.51223926,69.68,59.74868313,65.83,0.045750883,0,0.044238683,0
301,33,0.9,1,1.621621622,3957.319417,-9204.074074,441.8518519,-130.6549513,-484.983482,1231.503399,-1945.377152,-8020,882.5320687,-462.0700887,118.8455857,369.2729184,63.52,69.66144531,59.76,65.83,0.00776074,-0.018554688,0.011316872,0
301,33,0.9,1,2.162162162,3515.788868,-8921.925926,408.1481481,-166.2903261,-429.6336307,1011.053222,-1962,-8068,876,-482,131,358,63.52,69.60089844,59.76,65.83,0,-0.060546875,0,0
301,33,0.9,1,2.702702703,2936,-8770,390,-208,-335,703,-2012.387097,-8034.371795,853.4553322,-503.0880247,141.4654472,349.1708848,63.54690603,69.6,59.76,65.83,0.026906026,-0.000898437,0,0
301,33,0.9,1,3.243243243,1651.319797,-12823,1036.706429,-283.1111955,1143.231417,53.78321011,-2050,-7982,808,-522,150,339,63.59375293,69.6,59.75505394,65.83,0.0468469,0,-0.004946061,0
301,33,0.9,1,3.783783784,718,-16876,2152,-333,2564,-700,-1996,-7948,680,-535,155,321,63.64302118,69.6,59.7084022,65.83,0.049268258,0,-0.04665174,0
301,33,0.9,1,4.324324324,3234,-13409.42582,3387.293571,-135.5,1747.429263,-1376.301018,-2007.844311,-7974,666.3464991,-541.2993348,146,314.4547418,63.65,69.58150777,59.7,65.80785156,0.006978816,-0.018492231,-0.008402198,-0.022148437
301,33,0.9,1,4.864864865,5750,-8762,4154,62,662,-1752,-2042,-8000,662,-547,137,308,63.65,69.52,59.7,65.76,0,-0.061507769,0,-0.047851563
301,33,0.9,1,5.405405405,4118,-6992,2624,-345,263,-1034,-2222,-7924,846,-556,140,291,63.65,69.46129855,59.7,65.76,0,-0.058701454,0,0
301,33,0.9,1,5.945945946,1570,-6444,1658,-550,177,-885,-2104,-7980,836.8746736,-592.6553288,168.063709,253.106833,63.65,69.44,59.7,65.76,0,-0.021298546,0,0
301,33,0.9,1,6.486486486,1408.52356,-6875.407407,382.0916224,-498.402686,67.42157749,-986.1111111,-1986,-8036,816,-639,194,226,63.65,69.44,59.7,65.76,0,0,0,0
301,33,0.9,1,7.027027027,1324.26178,-7676.592593,-934.2875221,-388.5831497,-44.01143347,-1173.888889,-2000,-8028.740741,754.5163018,-668.1039772,194.4163361,235.5925926,63.64389932,69.4260556,59.7,65.76,-0.006100676,-0.013944403,0,0
301,33,0.9,1,7.567567568,1300,-8108,-1540,-288,-95,-1275,-2026,-8015.259259,664.2539555,-693.0855456,194.5853292,253.4074074,63.61659042,69.36363525,59.7,65.76,-0.027308902,-0.062420347,0,0
301,33,0.9,1,8.108108108,1938,-7906,-96,-222,48,-1252,-2040,-8008,616,-720,195,263,63.58811281,69.29854356,59.7,65.76,-0.028477614,-0.065091688,0,0
301,33,0.9,1,8.648648649,2012.344617,-7929,731.100955,-181.2391304,21.40679825,-1255.349882,-2007,-8018.947368,614.0712127,-754.6513028,216.6754625,253.8333333,63.58,69.28,59.7,65.76,-0.008112809,-0.018543562,0,0
301,33,0.9,1,9.189189189,2082,-7952,1112,-162,-31,-1265,-1974,-8034,612,-786,238,243,63.58,69.28,59.7,65.76,0,0,0,0
