locomotion_mode,terrain_info,walk_speed_info,gait_phase,gait_percentage,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle,left_hip_angle_vel,left_knee_angle_vel,right_hip_angle_vel,right_knee_angle_vel
201,10,1.1,2,48.50746269,586,-9358,286,-1099,-732,-2099,-6724,-8800,-1718,-443,-53,1966,59.55249029,64.13355469,60.24,67.15104452,-0.044420334,-0.056642748,0.008402198,-0.018955479
201,10,1.1,3,49.25373134,-72,-9930,-88,-1228,-752,-2178,-5108.560406,-8653.4375,-2380.375588,-609.6933016,-142.21875,2218.925551,59.52,63.99,60.24,67.09,-0.032490288,-0.143554687,0,-0.061044521
201,10,1.1,3,50,64,-11968,332,-1272,-563,-2482,-3382.831472,-8331,-3000.111634,-774.255157,-338.5,2759.211601,59.52,64.02388962,60.27785874,67.05208132,0,0.033889618,0.037858742,-0.037918677
201,10,1.1,3,50.74626866,151.7024378,-11691.11111,535.2052484,-1313.454787,-549.8770925,-2703.002843,-2008.686802,-8008.5625,-3458.791863,-899.9394339,-534.78125,3296.39185,59.52,64.07486452,60.3,66.99983263,0,0.050974904,0.022141258,-0.052248691
201,10,1.1,3,51.49253731,222.0696014,-11176.88889,678.4104967,-1350.782949,-542.9941018,-2891.076338,-1448,-7862,-3638,-950,-624,3540,59.52,64.12547955,60.3,66.90311173,0,0.050615031,0,-0.096720905
201,10,1.1,3,52.23880597,296,-10900,872,-1367,-541,-3086,-3082,-8558,-496,-594,217,3518,59.52,64.13,60.3,66.76905284,0,0.004520447,0,-0.134058886
201,10,1.1,3,52.98507463,404.6695464,-11943.73691,1339.894096,-1309,-680.5,-3305.516695,-2989.650583,-8534.210071,-730.6875,-626.8125,233.0917351,3359.62618,59.52,64.13,60.3,66.64,0,0,0,-0.129052841
201,10,1.1,3,53.73134328,472,-13206,1680,-1251,-820,-3529,-2754.401554,-8464.893523,-1247,-699,242.85932,3051.199615,59.52,64.13,60.3,66.58512654,0,0,0,-0.054873465
201,10,1.1,3,54.47761194,-1098,-13498,1230,-1318,-692,-3747,-2438.951749,-8353.130213,-1763.3125,-771.1875,247.697245,2739.173243,59.51446289,64.13645996,60.30553711,66.57,-0.005537109,0.006459961,0.005537109,-0.015126535
201,10,1.1,3,55.2238806,-846.5788152,-13110.55517,1061.843747,-1318.436578,-778.2134437,-3927.726107,-2106,-8202,-1998,-804,249,2570,59.46553711,64.19354004,60.35446289,66.57,-0.048925781,0.057080078,0.048925781,0
201,10,1.1,3,55.97014925,-281.3798525,-12246.6659,956.92919,-1318.565735,-955.7602207,-4091.153008,-1700,-7772,-1778,-368,-12,2538,59.46,64.2,60.36,66.52453118,-0.005537109,0.006459961,0.005537109,-0.045468819
201,10,1.1,3,56.71641791,314,-11354,794,-1319,-1103,-4251,-2433,-7799,-526.9932886,-212.9491581,19.55652174,2350.648406,59.46,64.2,60.36,66.42,0,0,0,-0.104531181
201,10,1.1,3,57.46268657,868,-10562,388,-1360,-1177,-4410,-3166,-7826,552,-151,64,2081,59.46,64.15214844,60.36,66.37731649,0,-0.047851563,0,-0.042683513
201,10,1.1,3,58.20895522,2440,-10204,-436,-1506,-1000,-4611,-2961,-7794,438.0294451,-178,89.94347826,1862.17874,59.46,64.13598396,60.36,66.32157032,0,-0.016164474,0,-0.055746169
201,10,1.1,3,58.95522388,4760,-12192,470,-1638,-910,-4897,-2756,-7762,190,-205,103,1670,59.46,64.18119079,60.36,66.230037,0,0.045206823,0,-0.091533322
201,10,1.1,3,59.70149254,5345.106383,-12984.96875,1454.58948,-1782.270881,-1055.233705,-4738.599244,-2910,-8358,-246,-149,28,1530,59.46,64.22360719,60.36,66.16667302,0,0.042416406,0,-0.063363978
201,10,1.1,4,60.44776119,5560,-13312,2074,-1865,-1314,-4425,-2947.494701,-8335.64186,-151.8794248,-57.68453865,15.15945077,1378.516832,59.46,64.27,60.36,66.12,0,0.046392808,0,-0.046673018
201,10,1.1,4,61.19402985,4850.3125,-12551.00666,2183.465145,-1849.951557,-1609.692913,-3961.558287,-2984,-8282,40,2,7,1221,59.41898438,64.36073335,60.40101563,66.06558594,-0.041015625,0.090733349,0.041015625,-0.054414063
201,10,1.1,4,61.94029851,3289,-10747.01775,2260.135685,-1808.454153,-1965.03259,-3328.802409,-3191.510917,-8089.35814,335.9121195,-3.777777778,-6.686046512,1072.101269,59.4,64.43294933,60.42,66.05980256,-0.018984375,0.072215984,0.018984375,-0.005783373
